
LDH, prism, transmil, HE, meilleur modèle — epoch 17, val AUC: 0.6875

status, prism, transmil, HE, meilleur modèle — epoch 24, val AUC: 0.6267

LDH, prism, abmil, HE, meilleur modèle — epoch 37, val AUC: 0.6403

status, prism, abmil, HE, meilleur modèle — epoch 34, val AUC: 0.7278

LDH, prism, dsmil, HE, meilleur modèle — epoch 46, val AUC: 0.6773

status, prism, dsmil, HE, meilleur modèle — epoch 51, val AUC: 0.6086

LDH, titan, transmil, HE, meilleur modèle — epoch 11, val AUC: 0.6103

status, titan, transmil, HE, meilleur modèle — epoch 11, val AUC: 0.7247

LDH, titan, abmil, HE, meilleur modèle — epoch 34, val AUC: 0.5204

status, titan, abmil, HE, meilleur modèle — epoch 9, val AUC: 0.7435

LDH, titan, dsmil, HE, meilleur modèle — epoch 28, val AUC: 0.5835

status, titan, dsmil, HE, meilleur modèle — epoch 11, val AUC: 0.6745

LDH, feather, transmil, HE, meilleur modèle — epoch 11, val AUC: 0.6103

status, feather, transmil, HE, meilleur modèle — epoch 11, val AUC: 0.7247

LDH, feather, abmil, HE, meilleur modèle — epoch 34, val AUC: 0.5204

status, feather, abmil, HE, meilleur modèle — epoch 9, val AUC: 0.7435

LDH, feather, dsmil, HE, meilleur modèle — epoch 28, val AUC: 0.5835

status, feather, dsmil, HE, meilleur modèle — epoch 11, val AUC: 0.6745

LDH, prism, transmil, BCL2, meilleur modèle — epoch 7, val AUC: 0.6557

status, prism, transmil, BCL2, meilleur modèle — epoch 27, val AUC: 0.5874

LDH, prism, abmil, BCL2, meilleur modèle — epoch 4, val AUC: 0.6263

status, prism, abmil, BCL2, meilleur modèle — epoch 26, val AUC: 0.6272

LDH, prism, dsmil, BCL2, meilleur modèle — epoch 16, val AUC: 0.6396

status, prism, dsmil, BCL2, meilleur modèle — epoch 15, val AUC: 0.6070

LDH, titan, transmil, BCL2, meilleur modèle — epoch 3, val AUC: 0.6113

status, titan, transmil, BCL2, meilleur modèle — epoch 2, val AUC: 0.6718

LDH, titan, abmil, BCL2, meilleur modèle — epoch 29, val AUC: 0.5006

status, titan, abmil, BCL2, meilleur modèle — epoch 7, val AUC: 0.6147

LDH, titan, dsmil, BCL2, meilleur modèle — epoch 18, val AUC: 0.6696

status, titan, dsmil, BCL2, meilleur modèle — epoch 35, val AUC: 0.5672

LDH, feather, transmil, BCL2, meilleur modèle — epoch 3, val AUC: 0.6113

status, feather, transmil, BCL2, meilleur modèle — epoch 2, val AUC: 0.6718

LDH, feather, abmil, BCL2, meilleur modèle — epoch 29, val AUC: 0.5006

