
LDH, prism, transmil, HE, meilleur modèle — epoch 5, val AUC: 0.6448

status, prism, transmil, HE, meilleur modèle — epoch 1, val AUC: 0.5923

LDH, prism, abmil, HE, meilleur modèle — epoch 20, val AUC: 0.5944

status, prism, abmil, HE, meilleur modèle — epoch 12, val AUC: 0.5033

LDH, prism, dsmil, HE, meilleur modèle — epoch 7, val AUC: 0.6250

status, prism, dsmil, HE, meilleur modèle — epoch 11, val AUC: 0.5777

LDH, titan, transmil, HE, meilleur modèle — epoch 33, val AUC: 0.6990

status, titan, transmil, HE, meilleur modèle — epoch 19, val AUC: 0.6897

LDH, titan, abmil, HE, meilleur modèle — epoch 19, val AUC: 0.5810

status, titan, abmil, HE, meilleur modèle — epoch 3, val AUC: 0.5372

LDH, titan, dsmil, HE, meilleur modèle — epoch 32, val AUC: 0.5989

status, titan, dsmil, HE, meilleur modèle — epoch 19, val AUC: 0.4840

LDH, feather, transmil, HE, meilleur modèle — epoch 38, val AUC: 0.6582

status, feather, transmil, HE, meilleur modèle — epoch 19, val AUC: 0.6770

LDH, feather, abmil, HE, meilleur modèle — epoch 19, val AUC: 0.5810

status, feather, abmil, HE, meilleur modèle — epoch 3, val AUC: 0.5372

LDH, feather, dsmil, HE, meilleur modèle — epoch 32, val AUC: 0.5989

status, feather, dsmil, HE, meilleur modèle — epoch 19, val AUC: 0.4840
